fecha,tipo,cobertura_nubosa,sensor,ruta_archivo,tamano_mb
2026-03-05,RGB,3.67,Sentinel-2B L2A,2026-03-05_RGB.png,0.63
2026-03-03,ThermalFalseColor,23.89,Sentinel-2C L2A,2026-03-03_ThermalFalseColor.png,0.34
2026-03-03,RGB,23.89,Sentinel-2C L2A,2026-03-03_RGB.png,0.4
2026-02-28,RGB,98.11,Sentinel-2C L2A,2026-02-28_RGB.png,0.0
2026-02-28,ThermalFalseColor,98.11,Sentinel-2C L2A,2026-02-28_ThermalFalseColor.png,0.15
2026-02-26,RGB,14.96,Sentinel-2B L2A,2026-02-26_RGB.png,0.63
2026-02-26,ThermalFalseColor,14.96,Sentinel-2B L2A,2026-02-26_ThermalFalseColor.png,0.4
2026-02-23,RGB,25.89,Sentinel-2B L2A,2026-02-23_RGB.png,0.73
2026-02-23,ThermalFalseColor,25.89,Sentinel-2B L2A,2026-02-23_ThermalFalseColor.png,0.46
2026-02-21,ThermalFalseColor,5.92,Sentinel-2C L2A,2026-02-21_ThermalFalseColor.png,0.44
2026-02-21,RGB,5.92,Sentinel-2C L2A,2026-02-21_RGB.png,0.67
2026-02-18,ThermalFalseColor,43.92,Sentinel-2C L2A,2026-02-18_ThermalFalseColor.png,0.44
2026-02-18,RGB,43.92,Sentinel-2C L2A,2026-02-18_RGB.png,0.71
2026-02-16,RGB,0.09,Sentinel-2B L2A,2026-02-16_RGB.png,0.67
2026-02-16,ThermalFalseColor,0.09,Sentinel-2B L2A,2026-02-16_ThermalFalseColor.png,0.43
2026-02-13,ThermalFalseColor,0.0,Sentinel-2B L2A,2026-02-13_ThermalFalseColor.png,0.36
2026-02-13,RGB,0.0,Sentinel-2B L2A,2026-02-13_RGB.png,0.52
2026-02-11,ThermalFalseColor,96.73,Sentinel-2C L2A,2026-02-11_ThermalFalseColor.png,0.08
2026-02-11,RGB,96.73,Sentinel-2C L2A,2026-02-11_RGB.png,0.0
2026-02-08,RGB,31.79,Sentinel-2C L2A,2026-02-08_RGB.png,0.72
2026-02-08,ThermalFalseColor,31.79,Sentinel-2C L2A,2026-02-08_ThermalFalseColor.png,0.46
2026-02-06,RGB,0.78,Sentinel-2B L2A,2026-02-06_RGB.png,0.7
2026-02-06,ThermalFalseColor,0.78,Sentinel-2B L2A,2026-02-06_ThermalFalseColor.png,0.44
2026-02-03,RGB,99.69,Sentinel-2B L2A,2026-02-03_RGB.png,0.0
2026-02-03,ThermalFalseColor,99.69,Sentinel-2B L2A,2026-02-03_ThermalFalseColor.png,0.17
2026-02-01,ThermalFalseColor,2.27,Sentinel-2C L2A,2026-02-01_ThermalFalseColor.png,0.44
2026-02-01,RGB,2.27,Sentinel-2C L2A,2026-02-01_RGB.png,0.68
2026-01-29,ThermalFalseColor,0.03,Sentinel-2C L2A,2026-01-29_ThermalFalseColor.png,0.45
2026-01-29,RGB,0.03,Sentinel-2C L2A,2026-01-29_RGB.png,0.7
2026-01-27,RGB,24.18,Sentinel-2B L2A,2026-01-27_RGB.png,0.65
2026-01-27,ThermalFalseColor,24.18,Sentinel-2B L2A,2026-01-27_ThermalFalseColor.png,0.45
2026-01-24,ThermalFalseColor,11.45,Sentinel-2B L2A,2026-01-24_ThermalFalseColor.png,0.46
2026-01-24,RGB,11.45,Sentinel-2B L2A,2026-01-24_RGB.png,0.71
2026-01-22,RGB,4.19,Sentinel-2C L2A,2026-01-22_RGB.png,0.66
2026-01-22,ThermalFalseColor,4.19,Sentinel-2C L2A,2026-01-22_ThermalFalseColor.png,0.44
2026-01-19,RGB,0.0,Sentinel-2C L2A,2026-01-19_RGB.png,0.71
2026-01-19,ThermalFalseColor,0.0,Sentinel-2C L2A,2026-01-19_ThermalFalseColor.png,0.46
2026-01-17,ThermalFalseColor,0.75,Sentinel-2B L2A,2026-01-17_ThermalFalseColor.png,0.45
2026-01-17,RGB,0.75,Sentinel-2B L2A,2026-01-17_RGB.png,0.7
2026-01-12,RGB,87.89,Sentinel-2C L2A,2026-01-12_RGB.png,0.7
2026-01-12,ThermalFalseColor,87.89,Sentinel-2C L2A,2026-01-12_ThermalFalseColor.png,0.46
2026-01-11,RGB,5.49,Sentinel-2A L2A,2026-01-11_RGB.png,0.72
2026-01-11,ThermalFalseColor,5.49,Sentinel-2A L2A,2026-01-11_ThermalFalseColor.png,0.46
2026-01-09,ThermalFalseColor,0.01,Sentinel-2C L2A,2026-01-09_ThermalFalseColor.png,0.46
2026-01-09,RGB,0.01,Sentinel-2C L2A,2026-01-09_RGB.png,0.71
2026-01-07,RGB,0.34,Sentinel-2B L2A,2026-01-07_RGB.png,0.67
2026-01-07,ThermalFalseColor,0.34,Sentinel-2B L2A,2026-01-07_ThermalFalseColor.png,0.44
2026-01-04,RGB,0.0,Sentinel-2B L2A,2026-01-04_RGB.png,0.69
2026-01-04,ThermalFalseColor,0.0,Sentinel-2B L2A,2026-01-04_ThermalFalseColor.png,0.45
2026-01-02,RGB,0.0,Sentinel-2C L2A,2026-01-02_RGB.png,0.62
2026-01-02,ThermalFalseColor,0.0,Sentinel-2C L2A,2026-01-02_ThermalFalseColor.png,0.42
2025-12-30,ThermalFalseColor,0.83,Sentinel-2C L2A,2025-12-30_ThermalFalseColor.png,0.39
2025-12-30,RGB,0.83,Sentinel-2C L2A,2025-12-30_RGB.png,0.57
2025-12-28,ThermalFalseColor,0.71,Sentinel-2B L2A,2025-12-28_ThermalFalseColor.png,0.36
2025-12-28,RGB,0.71,Sentinel-2B L2A,2025-12-28_RGB.png,0.51
2025-12-25,ThermalFalseColor,2.22,Sentinel-2A L2A,2025-12-25_ThermalFalseColor.png,0.35
2025-12-25,RGB,2.22,Sentinel-2A L2A,2025-12-25_RGB.png,0.5
2025-12-23,ThermalFalseColor,65.51,Sentinel-2B,ThermalFalseColor/2025-12-23_ThermalFalseColor.png,0.23
2025-12-23,RGB,65.51,Sentinel-2B,RGB/2025-12-23_RGB.png,0.13
2025-12-22,RGB,25.43,Sentinel-2B,RGB/2025-12-22_RGB.png,0.5
2025-12-22,ThermalFalseColor,25.43,Sentinel-2B,ThermalFalseColor/2025-12-22_ThermalFalseColor.png,0.37
2025-12-20,RGB,97.73,Sentinel-2B,RGB/2025-12-20_RGB.png,0.08
2025-12-20,ThermalFalseColor,97.73,Sentinel-2B,ThermalFalseColor/2025-12-20_ThermalFalseColor.png,0.14
2025-12-18,ThermalFalseColor,0.68,Sentinel-2B,ThermalFalseColor/2025-12-18_ThermalFalseColor.png,0.35
2025-12-18,RGB,0.68,Sentinel-2B,RGB/2025-12-18_RGB.png,0.48
